Invoice No,Name,Phone,Address,Total Quantity,Price per Liter,Total Amount,Due Amount,Payable,Date
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1001 ,Samar Ahmad  ,0369852147   ,Hafizabad   ,30,180,5400,0,5400,2025-09-24 08:52:16
1001 ,Samar Ahmad  ,0369852147   ,Hafizabad   ,30,180,5400,0,5400,2025-09-24 08:53:46
1001 ,Samar Ahmad  ,0369852147   ,Hafizabad   ,30,180,5400,0,5400,2025-09-24 08:59:03
1001 ,Samar Ahmad   ,0369852147    ,Hafizabad    ,60,150,9000,120,8880,2025-09-24 09:01:25
1001 ,Samar Ahmad   ,0369852147    ,Hafizabad    ,60,150,9000,120,8880,2025-09-24 09:06:52
1001 ,Samar Ahmad   ,0369852147    ,Hafizabad    ,60,150,9000,120,8880,2025-09-24 09:07:43
1001 ,Samar Ahmad   ,0369852147    ,Hafizabad    ,60,150,9000,120,8880,2025-09-24 09:08:29
1001 ,Samar Ahmad,369852147 ,Hafizabad ,120,150,18000,0,18000,2025-09-24 09:10:32
1001 ,Samar Ahmad,369852147 ,Hafizabad ,120,150,18000,0,18000,2025-09-24 09:10:33
1001 ,Samar Ahmad,369852147 ,Hafizabad ,120,150,18000,0,18000,2025-09-24 09:11:01
1001 ,Samar Ahmad,369852147 ,Hafizabad ,120,150,18000,0,18000,2025-09-24 09:15:03
1001 ,Samar Ahmad,369852147 ,Hafizabad ,120,150,18000,0,18000,2025-09-24 09:17:32
1001 ,Samar Ahmad,369852147 ,Hafizabad ,120,150,18000,0,18000,2025-09-24 09:18:40
1001  ,Samar Ahmad ,0369852147   ,Hafizabad  ,50,150,7500,1000,6500,2025-09-24 09:20:32
1001  ,Samar Ahmad ,0369852147   ,Hafizabad  ,50,150,7500,1000,6500,2025-09-24 09:20:32
1001  ,Samar Ahmad ,0369852147   ,Hafizabad  ,50,150,7500,0,7500,2025-09-24 09:21:05
1001  ,Samar Ahmad ,0369852147   ,Hafizabad  ,50,150,7500,0,7500,2025-09-24 09:21:05
1001  ,Samar Ahmad ,0369852147   ,Hafizabad  ,50,150,7500,0,7500,2025-09-24 09:21:48
1001  ,Samar Ahmad ,0369852147   ,Hafizabad  ,50,150,7500,0,7500,2025-09-24 09:21:48
1001  ,Samar Ahmad  ,0369852147    ,Hafizabad   ,0,0,0,0,0,2025-09-24 09:22:00
1001  ,Samar Ahmad  ,0369852147    ,Hafizabad   ,0,0,0,0,0,2025-09-24 09:22:00
,,,,0,0,0,0,0,2025-09-24 09:22:35
,,,,0,0,0,0,0,2025-09-24 09:22:35
1001  ,Samar Ahmad   ,0369852147     ,Hafizabad    ,0,0,0,0,0,2025-09-24 09:22:45
1001  ,Samar Ahmad   ,0369852147     ,Hafizabad    ,0,0,0,0,0,2025-09-24 09:22:45
,,,,0,0,0,0,0,2025-09-24 09:40:25
,,,,0,0,0,0,0,2025-09-24 09:40:25
,,,,0,0,0,0,0,2025-09-25 09:56:16
,,,,0,0,0,0,0,2025-09-25 09:56:16
,,,,0,0,0,0,0,2025-09-25 09:58:35
,,,,0,0,0,0,0,2025-09-25 09:58:35
1001   ,Samar Ahmad     ,0369852147       ,Hafizabad      ,200,200,40000,0,40000,2025-09-25 11:34:04
1001   ,Samar Ahmad     ,0369852147       ,Hafizabad      ,200,200,40000,0,40000,2025-09-25 11:36:09
1001   ,Samar Ahmad      ,0369852147        ,Hafizabad       ,150,200,30000,0,30000,2025-09-25 11:37:57
1001   ,Samar Ahmad      ,0369852147        ,Hafizabad       ,150,200,30000,0,30000,2025-09-25 11:39:59
1001   ,Samar Ahmad      ,0369852147        ,Hafizabad       ,150,200,30000,0,30000,2025-09-25 11:39:59
1001   ,Samar Ahmad      ,0369852147        ,,150,200,30000,0,30000,2025-09-25 11:40:56
1001   ,Samar Ahmad      ,0369852147        ,,150,200,30000,0,30000,2025-09-25 11:42:51
1001   ,Samar Ahmad      ,0369852147        ,,150,200,30000,0,30000,2025-09-25 11:44:13
1001   ,Samar Ahmad      ,0369852147        ,Hafizabad      ,150,200,30000,0,30000,2025-09-25 11:44:34
1001   ,Samar Ahmad      ,0369852147        ,Hafizabad      ,150,200,30000,0,30000,2025-09-25 11:45:52
1001   ,Samar Ahmad      ,0369852147        ,Hafizabad      ,150,200,30000,0,30000,2025-09-25 11:46:39
,,,,0,0,0,0,0,2025-09-25 11:57:42
,,,,0,0,0,0,0,2025-09-25 12:22:46
1001,Samar Ahmad ,369852147 ,Hafizabad ,120,200,24000,100,23900,2025-09-25 12:23:43
,,,,0,0,0,0,0,2025-09-25 12:38:48
,,,,0,0,0,0,0,2025-09-25 12:49:27
